模板ID,防护场景,攻击类型,适用组件,风险等级,适用场景,策略代码/步骤,生效条件,回滚提示,基础标签
HOST-017,主机防护,进程注入,Linux,高,恶意代码注入正常进程,grep -r "inject" /proc/*/maps\nkill异常进程,注入进程终止,重启业务进程,主机防护、进程注入、Linux、高风险
HOST-018,主机防护,对外异常流量,Linux,中,主机对外发起DDoS/扫描,iptables -A OUTPUT -d 0.0.0.0/0 -j DROP\n仅放行业务IP,异常外联被阻断,删除OUTPUT规则,主机防护、异常流量、iptables、中风险
HOST-019,主机防护,主机弱口令,Linux/Windows,中,存在root/administrator弱口令,passwd root 修改强密码\nnet user administrator 强密码,弱口令无法登录,恢复旧密码,主机防护、弱口令、系统、中风险
HOST-020,主机防护,系统漏洞修复,Linux,高,存在高危系统漏洞,apt update && apt upgrade -y\nyum update -y,漏洞补丁安装完成,回滚更新包,主机防护、系统漏洞、Linux、高风险
NET-001,网络边界防护,SYN Flood DDoS,iptables,高,服务器遭受SYN洪水攻击,iptables -A INPUT -p tcp --syn -m limit --limit 1/s -j ACCEPT,攻击流量被限流,删除limit规则,网络防护、DDoS、iptables、高风险
NET-002,网络边界防护,端口扫描,iptables,低,外部高频端口扫描,iptables -A INPUT -p tcp --syn -m recent --name scan --set\n--update --seconds 60 --hitcount 10 -j DROP,扫描IP被封禁,清空recent列表,网络防护、端口扫描、iptables、低风险
NET-003,网络边界防护,恶意IP黑名单,iptables/ipset,中,已知恶意IP持续攻击,ipset create bl iphash\nipset add bl 恶意IP\niptables -A INPUT -m set --match-set bl src -j DROP,恶意IP被拦截,删除IP或销毁ipset,网络防护、恶意IP、ipset、中风险
NET-004,网络边界防护,ARP欺骗,arpalert,中,内网ARP欺骗攻击,arpalert -i eth0\n绑定网关IP-MAC,ARP欺骗被告警并拦截,关闭arpalert服务,网络防护、ARP欺骗、arpalert、中风险
NET-005,网络边界防护,DNS劫持,iptables,高,DNS被污染或劫持,iptables -A OUTPUT -p udp --dport 53 -j ACCEPT\n仅放行合法DNS,仅可信DNS可通信,恢复默认DNS规则,网络防护、DNS劫持、iptables、高风险
NET-006,网络边界防护,非法端口映射,iptables,中,内网端口被映射到公网,iptables -A FORWARD -j DROP\n禁止内网端口转发,端口映射失效,允许FORWARD转发,网络防护、端口映射、iptables、中风险
NET-007,网络边界防护,非法外联,iptables,中,内网主机主动外联黑产IP,iptables -A OUTPUT -d 恶意网段 -j DROP,非法外联被阻断,删除网段拦截规则,网络防护、非法外联、iptables、中风险
NET-008,网络边界防护,内网横向探测,iptables,高,攻击者内网横向移动,iptables -A FORWARD -s 内网段 -d 内网段 -j DROP,内网互访受限,允许内网转发,网络防护、横向移动、iptables、高风险
NET-009,网络边界防护,ICMP攻击,iptables,中,ICMP洪水ping攻击,iptables -A INPUT -p icmp -m limit --limit 1/s -j ACCEPT,ping被限流,删除icmp限流规则,网络防护、ICMP攻击、iptables、中风险
NET-010,网络边界防护,UDP洪水,iptables,高,UDP Flood导致带宽打满,iptables -A INPUT -p udp -m limit --limit 10/s -j ACCEPT,UDP流量被限制,删除udp限流规则,网络防护、UDP洪水、iptables、高风险
